order_item_id,order_id,product_id,quantity,unit_price,discount,line_total,created_timestamp,updated_timestamp
150126,50001,156,3,1087.95,0.3,2284.7,2026-06-24 22:55:38.025617,2026-06-24 22:55:38.025617
150127,50001,104,3,727.27,0.3,1527.27,2026-06-24 22:55:38.025964,2026-06-24 22:55:38.025964
150128,50001,355,3,3556.63,0.0,10669.89,2026-06-24 22:55:38.026276,2026-06-24 22:55:38.026276
150129,50001,238,1,3614.41,0.1,3252.97,2026-06-24 22:55:38.026577,2026-06-24 22:55:38.026577
150130,50001,435,2,-9813.17,0.0,-19626.34,2026-06-24 22:55:38.026884,2026-06-24 22:55:38.026884
150131,50002,337,3,2496.65,0.05,7115.45,2026-06-24 22:55:38.027246,2026-06-24 22:55:38.027246
150132,50002,355,3,3556.63,0.1,9602.9,2026-06-24 22:55:38.027541,2026-06-24 22:55:38.027541
150133,50002,329,3,13302.16,0.25,29929.86,2026-06-24 22:55:38.027838,2026-06-24 22:55:38.027838
150134,50003,207,2,1141.08,0.15,1939.84,2026-06-24 22:55:38.028178,2026-06-24 22:55:38.028178
150135,50004,58,3,64110.9,0.3,134632.89,2026-06-24 22:55:38.028514,2026-06-24 22:55:38.028514
150136,50004,489,1,2625.35,0.05,2494.08,2026-06-24 22:55:38.028813,2026-06-24 22:55:38.028813
150137,50005,49,3,68074.99,0.1,183802.47,2026-06-24 22:55:38.029165,2026-06-24 22:55:38.029165
150138,50005,376,3,26750.54,0.1,72226.46,2026-06-24 22:55:38.029461,2026-06-24 22:55:38.029461
150139,50005,381,1,22971.39,0.2,18377.11,2026-06-24 22:55:38.029759,2026-06-24 22:55:38.029759
150140,50005,84,2,39029.46,0.0,78058.92,2026-06-24 22:55:38.030048,2026-06-24 22:55:38.030048
150141,50006,311,2,18209.83,0.15,30956.71,2026-06-24 22:55:38.030384,2026-06-24 22:55:38.030384
150142,50006,253,3,4504.63,0.2,10811.11,2026-06-24 22:55:38.030676,2026-06-24 22:55:38.030676
150143,50006,164,3,4888.12,0.1,13197.92,2026-06-24 22:55:38.030978,2026-06-24 22:55:38.030978
150144,50007,211,1,3148.12,0.25,2361.09,2026-06-24 22:55:38.031315,2026-06-24 22:55:38.031315
150145,50008,110,1,4998.97,0.15,4249.12,2026-06-24 22:55:38.031652,2026-06-24 22:55:38.031652
150146,50008,196,2,3223.38,0.05,6124.42,2026-06-24 22:55:38.031946,2026-06-24 22:55:38.031946
150147,50008,185,2,1783.65,0.0,3567.3,2026-06-24 22:55:38.032238,2026-06-24 22:55:38.032238
150148,50009,46,3,39455.98,0.0,118367.94,2026-06-24 22:55:38.032608,2026-06-24 22:55:38.032608
150149,50009,347,1,29792.55,0.2,23834.04,2026-06-24 22:55:38.032905,2026-06-24 22:55:38.032905
150150,50009,454,1,1626.27,0.2,1301.02,2026-06-24 22:55:38.033208,2026-06-24 22:55:38.033208
150151,50010,9,1,36457.8,0.0,36457.8,2026-06-24 22:55:38.033542,2026-06-24 22:55:38.033542
150152,50010,74,2,79290.21,0.25,118935.32,2026-06-24 22:55:38.033840,2026-06-24 22:55:38.033840
150153,50010,274,2,2525.68,0.1,4546.22,2026-06-24 22:55:38.034136,2026-06-24 22:55:38.034136
150154,50011,290,2,3006.42,0.15,5110.91,2026-06-24 22:55:38.034470,2026-06-24 22:55:38.034470
150155,50012,168,1,3348.5,0.25,2511.38,2026-06-24 22:55:38.034833,2026-06-24 22:55:38.034833
150156,50012,425,1,11277.01,0.05,10713.16,2026-06-24 22:55:38.035146,2026-06-24 22:55:38.035146
150157,50012,104,1,727.27,0.0,727.27,2026-06-24 22:55:38.035439,2026-06-24 22:55:38.035439
150158,50013,381,1,22971.39,0.25,17228.54,2026-06-24 22:55:38.035773,2026-06-24 22:55:38.035773
150159,50013,159,1,1315.16,0.15,1117.89,2026-06-24 22:55:38.036066,2026-06-24 22:55:38.036066
150160,50013,326,1,11776.27,0.0,11776.27,2026-06-24 22:55:38.036358,2026-06-24 22:55:38.036358
150161,50013,290,2,3006.42,0.1,5411.56,2026-06-24 22:55:38.036650,2026-06-24 22:55:38.036650
150162,50014,20,2,12576.25,0.15,21379.62,2026-06-24 22:55:38.036995,2026-06-24 22:55:38.036995
150163,50014,80,3,29261.55,0.3,61449.26,2026-06-24 22:55:38.037289,2026-06-24 22:55:38.037289
150164,50014,157,1,4609.27,0.05,4378.81,2026-06-24 22:55:38.037581,2026-06-24 22:55:38.037581
150165,50014,102,2,4879.16,0.15,8294.57,2026-06-24 22:55:38.037876,2026-06-24 22:55:38.037876
150166,50014,323,3,7921.64,0.1,21388.43,2026-06-24 22:55:38.038172,2026-06-24 22:55:38.038172
150167,50015,330,1,14648.99,0.3,10254.29,2026-06-24 22:55:38.038514,2026-06-24 22:55:38.038514
150168,50016,483,1,1934.06,0.05,1837.36,2026-06-24 22:55:38.038849,2026-06-24 22:55:38.038849
150169,50016,497,1,2139.81,0.25,1604.86,2026-06-24 22:55:38.039156,2026-06-24 22:55:38.039156
150170,50016,486,1,1420.16,0.3,994.11,2026-06-24 22:55:38.039448,2026-06-24 22:55:38.039448
150171,50016,377,2,7104.06,0.1,12787.31,2026-06-24 22:55:38.039744,2026-06-24 22:55:38.039744
150172,50017,181,3,342.66,0.0,1027.98,2026-06-24 22:55:38.040082,2026-06-24 22:55:38.040082
150173,50017,156,3,1087.95,0.15,2774.27,2026-06-24 22:55:38.040375,2026-06-24 22:55:38.040375
150174,50017,328,3,9343.91,0.1,25228.56,2026-06-24 22:55:38.040667,2026-06-24 22:55:38.040667
150175,50018,452,1,6850.45,0.2,5480.36,2026-06-24 22:55:38.041010,2026-06-24 22:55:38.041010
150176,50018,63,1,12597.07,0.25,9447.8,2026-06-24 22:55:38.041306,2026-06-24 22:55:38.041306
150177,50019,162,1,2326.44,0.0,2326.44,2026-06-24 22:55:38.041641,2026-06-24 22:55:38.041641
150178,50019,271,3,1979.42,0.3,4156.78,2026-06-24 22:55:38.041936,2026-06-24 22:55:38.041936
150179,50019,281,2,4088.0,0.15,6949.6,2026-06-24 22:55:38.042233,2026-06-24 22:55:38.042233
150180,50019,18,3,6766.99,0.0,20300.97,2026-06-24 22:55:38.042527,2026-06-24 22:55:38.042527
150181,50019,249,3,324.38,0.25,729.86,2026-06-24 22:55:38.042818,2026-06-24 22:55:38.042818
150182,50020,145,3,676.4,0.2,1623.36,2026-06-24 22:55:38.043169,2026-06-24 22:55:38.043169
150183,50020,383,2,10273.37,0.3,14382.72,2026-06-24 22:55:38.043466,2026-06-24 22:55:38.043466
150184,50020,31,3,7637.19,0.25,17183.68,2026-06-24 22:55:38.043761,2026-06-24 22:55:38.043761
150185,50020,217,3,882.86,0.15,2251.29,2026-06-24 22:55:38.044053,2026-06-24 22:55:38.044053
150186,50020,452,3,6850.45,0.2,16441.08,2026-06-24 22:55:38.044341,2026-06-24 22:55:38.044341
150187,50021,167,3,4137.64,0.15,10550.98,2026-06-24 22:55:38.044674,2026-06-24 22:55:38.044674
150188,50021,416,3,5362.01,0.2,12868.82,2026-06-24 22:55:38.044966,2026-06-24 22:55:38.044966
150189,50021,349,2,14387.98,0.2,23020.77,2026-06-24 22:55:38.045272,2026-06-24 22:55:38.045272
150190,50021,286,2,2854.46,0.2,4567.14,2026-06-24 22:55:38.045564,2026-06-24 22:55:38.045564
