order_id,customer_id,store_id,order_date,order_status,payment_method,order_total,created_timestamp,updated_timestamp
50001,4240,11,2026-06-25,Delivered,Cash,14114.8,2026-06-24 22:55:37.652483,2026-06-24 22:55:37.652483
50002,1651,1,2026-06-25,Processing,Net Banking,7887.2,2026-06-24 22:55:37.652495,2026-06-24 22:55:37.652495
50003,3136,16,2026-06-25,Processing,UPI,9663.39,2026-06-24 22:55:37.652501,2026-06-24 22:55:37.652501
50004,1081,36,2026-06-25,Delivered,UPI,3525.57,2026-06-24 22:55:37.652505,2026-06-24 22:55:37.652505
50005,1848,38,2026-06-25,Delivered,Debit Card,6568.63,2026-06-24 22:55:37.652510,2026-06-24 22:55:37.652510
50006,468,20,2026-06-25,Delivered,UPI,5772.66,2026-06-24 22:55:37.652514,2026-06-24 22:55:37.652514
50007,2730,27,2026-06-25,Shipped,Credit Card,2057.99,2026-06-24 22:55:37.652518,2026-06-24 22:55:37.652518
50008,791,28,2026-06-25,Delivered,UPI,4116.81,2026-06-24 22:55:37.652522,2026-06-24 22:55:37.652522
50009,3198,28,2026-06-25,Delivered,UPI,9446.03,2026-06-24 22:55:37.652526,2026-06-24 22:55:37.652526
50010,3145,35,2026-06-25,Processing,Credit Card,3120.39,2026-06-24 22:55:37.652530,2026-06-24 22:55:37.652530
50011,2540,10,2026-06-25,Cancelled,UPI,6478.61,2026-06-24 22:55:37.652534,2026-06-24 22:55:37.652534
50012,859,33,2026-06-25,Delivered,UPI,6679.4,2026-06-24 22:55:37.652538,2026-06-24 22:55:37.652538
50013,2071,24,2026-06-25,Delivered,UPI,14040.17,2026-06-24 22:55:37.652542,2026-06-24 22:55:37.652542
50014,3710,25,2026-06-25,Delivered,UPI,6162.8,2026-06-24 22:55:37.652545,2026-06-24 22:55:37.652545
50015,385,1,2026-06-25,Processing,Debit Card,13663.36,2026-06-24 22:55:37.652550,2026-06-24 22:55:37.652550
50016,3601,20,2026-06-25,Delivered,Debit Card,7466.71,2026-06-24 22:55:37.652553,2026-06-24 22:55:37.652553
50017,4042,9,2026-06-25,Shipped,Credit Card,3737.43,2026-06-24 22:55:37.652557,2026-06-24 22:55:37.652557
50018,4055,26,2026-06-25,Delivered,Debit Card,12005.65,2026-06-24 22:55:37.652561,2026-06-24 22:55:37.652561
50019,4212,42,2026-06-25,Delivered,Debit Card,11515.98,2026-06-24 22:55:37.652564,2026-06-24 22:55:37.652564
50020,2235,35,2026-06-25,Delivered,UPI,7844.87,2026-06-24 22:55:37.652568,2026-06-24 22:55:37.652568
50021,1276,9,2026-06-25,Shipped,UPI,6045.44,2026-06-24 22:55:37.652571,2026-06-24 22:55:37.652571
50022,2565,50,2026-06-25,Delivered,Debit Card,1948.53,2026-06-24 22:55:37.652575,2026-06-24 22:55:37.652575
50023,4596,28,2026-06-25,Delivered,UPI,10357.71,2026-06-24 22:55:37.652578,2026-06-24 22:55:37.652578
50024,177,13,2026-06-25,Delivered,Debit Card,7080.67,2026-06-24 22:55:37.652581,2026-06-24 22:55:37.652581
50025,1762,8,2026-06-25,Cancelled,UPI,6141.96,2026-06-24 22:55:37.652585,2026-06-24 22:55:37.652585
50026,2076,35,2026-06-25,Delivered,Credit Card,8650.98,2026-06-24 22:55:37.652589,2026-06-24 22:55:37.652589
50027,4994,19,2026-06-25,Delivered,Debit Card,8881.72,2026-06-24 22:55:37.652592,2026-06-24 22:55:37.652592
50028,3138,40,2026-06-25,Processing,UPI,5316.72,2026-06-24 22:55:37.652596,2026-06-24 22:55:37.652596
50029,2477,7,2026-06-25,Delivered,Credit Card,12919.33,2026-06-24 22:55:37.652599,2026-06-24 22:55:37.652599
50030,1496,38,2026-06-25,Delivered,Debit Card,14066.73,2026-06-24 22:55:37.652603,2026-06-24 22:55:37.652603
50031,3992,36,2026-06-25,Delivered,Debit Card,9744.37,2026-06-24 22:55:37.652606,2026-06-24 22:55:37.652606
50032,3910,2,2026-06-25,Delivered,UPI,8109.47,2026-06-24 22:55:37.652610,2026-06-24 22:55:37.652610
50033,3991,35,2026-06-25,Delivered,UPI,2005.01,2026-06-24 22:55:37.652613,2026-06-24 22:55:37.652613
50034,5026,42,2026-06-25,Delivered,Net Banking,8325.29,2026-06-24 22:55:37.652617,2026-06-24 22:55:37.652617
50035,1663,21,2026-06-25,Delivered,UPI,10767.9,2026-06-24 22:55:37.652621,2026-06-24 22:55:37.652621
50036,736,11,2026-06-25,Delivered,Debit Card,654.83,2026-06-24 22:55:37.652624,2026-06-24 22:55:37.652624
50037,541,1,2026-06-25,Delivered,Net Banking,4543.59,2026-06-24 22:55:37.652628,2026-06-24 22:55:37.652628
50038,3552,12,2026-06-25,Delivered,UPI,10833.51,2026-06-24 22:55:37.652631,2026-06-24 22:55:37.652631
50039,2857,19,2026-06-25,Delivered,UPI,4135.69,2026-06-24 22:55:37.652635,2026-06-24 22:55:37.652635
50040,981,42,2026-06-25,Delivered,Debit Card,11752.21,2026-06-24 22:55:37.652638,2026-06-24 22:55:37.652638
50041,4662,13,2026-06-25,Delivered,Cash,11873.63,2026-06-24 22:55:37.652642,2026-06-24 22:55:37.652642
50042,794,23,2026-06-25,Delivered,UPI,9556.03,2026-06-24 22:55:37.652645,2026-06-24 22:55:37.652645
